"No.","Time","Source","Destination","Protocol","Length","Info"
"64","5.880164","192.168.234.129","192.168.234.2","DNS","88","Standard query 0xaca3 A static.edge.microsoftapp.net"
"65","5.880376","192.168.234.129","192.168.234.2","DNS","88","Standard query 0x62ab HTTPS static.edge.microsoftapp.net"
"66","5.907622","192.168.234.2","192.168.234.129","DNS","369","Standard query response 0xaca3 A static.edge.microsoftapp.net CNAME edge-cloud-resource-static.azureedge.net CNAME edge-cloud-resource-static.afd.azureedge.net CNAME azureedge-t-prod.trafficmanager.net CNAME shed.dual-low.s-part-0010.t-0009.t-msedge.net CNAME s-part-0010.t-0009.t-msedge.net A 13.107.246.38"
"67","5.907622","192.168.234.2","192.168.234.129","DNS","425","Standard query response 0x62ab HTTPS static.edge.microsoftapp.net CNAME edge-cloud-resource-static.azureedge.net CNAME edge-cloud-resource-static.afd.azureedge.net CNAME azureedge-t-prod.trafficmanager.net CNAME shed.dual-low.s-part-0010.t-0009.t-msedge.net CNAME s-part-0010.t-0009.t-msedge.net SOA ns1.t-msedge.net"
"95","6.096430","192.168.234.129","192.168.234.2","DNS","78","Standard query 0xc294 A edge.microsoft.com"
"96","6.096748","192.168.234.129","192.168.234.2","DNS","78","Standard query 0x6642 HTTPS edge.microsoft.com"
"97","6.122680","192.168.234.2","192.168.234.129","DNS","178","Standard query response 0xc294 A edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net A 150.171.28.11 A 150.171.27.11"
"99","6.125663","192.168.234.2","192.168.234.129","DNS","206","Standard query response 0x6642 HTTPS edge.microsoft.com CNAME edge-microsoft-com.ax-0002.ax-msedge.net CNAME ax-0002.ax-msedge.net SOA ns1.ax-msedge.net"
"136","6.408861","192.168.234.129","192.168.234.2","DNS","91","Standard query 0x9859 A fe3cr.delivery.mp.microsoft.com"
"137","6.437498","192.168.234.2","192.168.234.129","DNS","179","Standard query response 0x9859 A fe3cr.delivery.mp.microsoft.com CNAME fe3.delivery.mp.microsoft.com CNAME glb.cws.prod.dcat.dsp.trafficmanager.net A 13.85.23.206"
