"No.","Time","Source","Destination","Protocol","Length","Info"
"162","6.606271","192.168.234.129","151.101.14.172","HTTP","407","HEAD /filestreamingservice/files/60cef905-0735-4f38-8c8b-9eb236054d3f?P1=1757060992&P2=404&P3=2&P4=QRCE4p6gAmBq%2b1fECUk7sd2PJkL1mf2Wjd4Rzz9GPDTs8wldJK8JDgDxp9XrVVwtlCOaR2CR1cPve50l%2bcFpoA%3d%3d HTTP/1.1 "
"164","6.634568","151.101.14.172","192.168.234.129","HTTP","668","HTTP/1.1 200 OK "
"168","6.669769","192.168.234.129","151.101.14.172","HTTP","479","GET /filestreamingservice/files/60cef905-0735-4f38-8c8b-9eb236054d3f?P1=1757060992&P2=404&P3=2&P4=QRCE4p6gAmBq%2b1fECUk7sd2PJkL1mf2Wjd4Rzz9GPDTs8wldJK8JDgDxp9XrVVwtlCOaR2CR1cPve50l%2bcFpoA%3d%3d HTTP/1.1 "
"173","6.696689","151.101.14.172","192.168.234.129","HTTP","375","HTTP/1.1 206 Partial Content  (application/x-chrome-extension)"
"762","9.783959","192.168.234.129","151.101.14.172","HTTP","482","GET /filestreamingservice/files/60cef905-0735-4f38-8c8b-9eb236054d3f?P1=1757060992&P2=404&P3=2&P4=QRCE4p6gAmBq%2b1fECUk7sd2PJkL1mf2Wjd4Rzz9GPDTs8wldJK8JDgDxp9XrVVwtlCOaR2CR1cPve50l%2bcFpoA%3d%3d HTTP/1.1 "
"765","9.813233","151.101.14.172","192.168.234.129","HTTP","692","HTTP/1.1 206 Partial Content  (application/x-chrome-extension)"
"767","10.999633","192.168.234.129","151.101.14.172","HTTP","482","GET /filestreamingservice/files/60cef905-0735-4f38-8c8b-9eb236054d3f?P1=1757060992&P2=404&P3=2&P4=QRCE4p6gAmBq%2b1fECUk7sd2PJkL1mf2Wjd4Rzz9GPDTs8wldJK8JDgDxp9XrVVwtlCOaR2CR1cPve50l%2bcFpoA%3d%3d HTTP/1.1 "
"772","11.020897","151.101.14.172","192.168.234.129","HTTP","451","HTTP/1.1 206 Partial Content  (application/x-chrome-extension)"
"774","12.040834","192.168.234.129","151.101.14.172","HTTP","483","GET /filestreamingservice/files/60cef905-0735-4f38-8c8b-9eb236054d3f?P1=1757060992&P2=404&P3=2&P4=QRCE4p6gAmBq%2b1fECUk7sd2PJkL1mf2Wjd4Rzz9GPDTs8wldJK8JDgDxp9XrVVwtlCOaR2CR1cPve50l%2bcFpoA%3d%3d HTTP/1.1 "
"785","12.073463","151.101.14.172","192.168.234.129","HTTP","177","HTTP/1.1 206 Partial Content  (application/x-chrome-extension)"
