"No.","Time","Source","Destination","Protocol","Length","Info"
"36","0.976941","13.107.246.38","192.168.234.129","TLSv1.2","117","Application Data, Application Data"
"71","5.936046","192.168.234.129","13.107.246.38","TLSv1.3","1824","Client Hello (SNI=static.edge.microsoftapp.net)"
"74","5.990614","13.107.246.38","192.168.234.129","TLSv1.3","153","Hello Retry Request, Change Cipher Spec"
"75","5.991125","192.168.234.129","13.107.246.38","TLSv1.3","638","Change Cipher Spec, Client Hello (SNI=static.edge.microsoftapp.net)"
"77","6.020865","13.107.246.38","192.168.234.129","TLSv1.3","1514","Server Hello, Application Data"
"81","6.020865","13.107.246.38","192.168.234.129","TLSv1.3","1224","Application Data, Application Data, Application Data"
"83","6.024737","192.168.234.129","13.107.246.38","TLSv1.3","128","Application Data"
"85","6.025060","192.168.234.129","13.107.246.38","TLSv1.3","146","Application Data"
"87","6.025313","192.168.234.129","13.107.246.38","TLSv1.3","350","Application Data"
"89","6.050626","13.107.246.38","192.168.234.129","TLSv1.3","660","Application Data, Application Data"
"90","6.053132","13.107.246.38","192.168.234.129","TLSv1.3","116","Application Data"
"92","6.053479","192.168.234.129","13.107.246.38","TLSv1.3","85","Application Data"
"94","6.076663","13.107.246.38","192.168.234.129","TLSv1.3","471","Application Data, Application Data"
"103","6.154612","192.168.234.129","150.171.28.11","TLSv1.2","1846","Client Hello (SNI=edge.microsoft.com)"
"110","6.213757","150.171.28.11","192.168.234.129","TLSv1.2","184","Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done"
"112","6.258850","192.168.234.129","150.171.28.11","TLSv1.2","212","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"114","6.259615","192.168.234.129","150.171.28.11","TLSv1.2","153","Application Data"
"116","6.259970","192.168.234.129","150.171.28.11","TLSv1.2","1449","Application Data"
"118","6.260260","192.168.234.129","150.171.28.11","TLSv1.2","14988","Application Data"
"130","6.287638","150.171.28.11","192.168.234.129","TLSv1.2","503","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message, Application Data, Application Data"
"131","6.298359","192.168.234.129","150.171.28.11","TLSv1.2","92","Application Data"
"134","6.347687","150.171.28.11","192.168.234.129","TLSv1.2","724","Application Data, Application Data"
"143","6.514752","192.168.234.129","13.85.23.206","TLSv1.3","535","Client Hello (SNI=fe3cr.delivery.mp.microsoft.com)"
"146","6.554255","13.85.23.206","192.168.234.129","TLSv1.3","1514","Server Hello, Change Cipher Spec"
"147","6.554255","13.85.23.206","192.168.234.129","TLSv1.3","1237","Application Data"
